// ~->[CASE-1]->~
DiaSemana   Hora   Appliance
Sabado   doze   Fridge
Sabado   doze   Fan
Sabado   onze   Fan
Sabado   onze   Fan
Sabado   onze   Fridge
Sabado   onze   Shower
Sabado   onze   Grill
Sabado   onze   Shower
Sabado   dez   Fridge
Quarta   quinze   Fan
Sabado   dez   Shower
Sabado   dez   Fridge
Quarta   dezesseis   Fan
Sabado   nove   Fan
Sabado   nove   Shower
Sabado   nove   Fridge
Sabado   oito   Fridge
Sabado   oito   Fan
Sabado   oito   Fan
Sabado   oito   Fan
Sabado   oito   Fridge
Sabado   sete   Fridge
Sabado   sete   Fan
Sabado   sete   Fridge
Sabado   seis   Fridge
Sabado   quatro   Fan
Sabado   quatro   Fridge
Sabado   quatro   Fan
Sabado   tres   Fridge
Sabado   tres   Fan
Sabado   tres   Fan
Sabado   tres   Fridge
Sabado   tres   Shower
Sabado   tres   Fan
Sabado   dois   Fan
Sabado   um   Fridge
Sabado   um   Fridge
Quarta   vinteTres   Shower
Quarta   vinteTres   Shower
Sabado   zero   Fan
Sabado   zero   Fan
Sabado   zero   Fan
Quinta   zero   Fan
Quinta   um   Fan
Sabado   zero   Fan
Quinta   nove   Shower
Sexta   vinteTres   Fan
Sexta   vinteTres   Fan
Quinta   dez   Shower
Sexta   vinteTres   Fan
Sexta   vinteTres   Grill
Sexta   vinteTres   Shower
Sexta   vinteTres   Shower
Sexta   vinteTres   Fan
Sexta   vinteTres   Fan
Quinta   onze   Fan
Sexta   vinteDois   Fan
Sexta   vinteDois   Fridge
Quinta   onze   Fan
Sexta   vinteDois   Fan
Sexta   vinteUm   Shower
Quinta   onze   Fan
Sexta   vinteUm   Fridge
Sexta   vinteUm   Fan
Sexta   vinteUm   Fan
Quinta   onze   Fan
Sexta   vinteUm   Fan
Sexta   vinteUm   Fridge
Sexta   vinteUm   Shower
Sexta   vinteUm   Fan
Quinta   doze   Fan
Sexta   vinteUm   Fridge
Sexta   vinte   Fan
Sexta   vinte   Fan
Quinta   doze   Fan
Quinta   doze   Shower
Quinta   doze   Fan
Sexta   dezenove   Fridge
Quinta   doze   Fan
Quinta   doze   Fan
Quinta   doze   Shower
Sexta   dezenove   Grill
Quinta   doze   Fan
Sexta   dezenove   Grill
Sexta   dezenove   Grill
Quinta   doze   Fan
Sexta   dezenove   Grill
Quinta   doze   Fan
Quinta   doze   Fan
Sexta   dezenove   Grill
Quinta   doze   Fan
Quinta   doze   Fan
Quinta   doze   Fan
Quinta   doze   Fan
Quinta   treze   Fan
Sexta   dezoito   Shower
Quinta   treze   Fan
Sexta   dezoito   Grill
Quinta   treze   Fan
Sexta   dezoito   Grill
Sexta   dezoito   Grill
Sexta   dezoito   Grill
